agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
ne_ndot_0001.00,NE,ne_ndot,Nebraska Department of Transportation,0001.00,ne_ndot_version_0001.00_current,current,
ne_ndot_0001.04,NE,ne_ndot,Nebraska Department of Transportation,0001.04,ne_ndot_version_0001.04_current,current,
ne_ndot_0001.05,NE,ne_ndot,Nebraska Department of Transportation,0001.05,ne_ndot_version_0001.05_historical,historical,
ne_ndot_0001.06,NE,ne_ndot,Nebraska Department of Transportation,0001.06,ne_ndot_version_0001.06_current,current,
ne_ndot_0001.07,NE,ne_ndot,Nebraska Department of Transportation,0001.07,ne_ndot_version_0001.07_historical,historical,
ne_ndot_0001.08,NE,ne_ndot,Nebraska Department of Transportation,0001.08,ne_ndot_version_0001.08_current,current,
ne_ndot_0001.09,NE,ne_ndot,Nebraska Department of Transportation,0001.09,ne_ndot_version_0001.09_historical,historical,
ne_ndot_0001.10,NE,ne_ndot,Nebraska Department of Transportation,0001.10,ne_ndot_version_0001.10_current,current,
ne_ndot_0001.11,NE,ne_ndot,Nebraska Department of Transportation,0001.11,ne_ndot_version_0001.11_historical,historical,
ne_ndot_0001.20,NE,ne_ndot,Nebraska Department of Transportation,0001.20,ne_ndot_version_0001.20_current,current,
ne_ndot_0001.30,NE,ne_ndot,Nebraska Department of Transportation,0001.30,ne_ndot_version_0001.30_current,current,
ne_ndot_0001.45,NE,ne_ndot,Nebraska Department of Transportation,0001.45,ne_ndot_version_0001.45_current,current,
ne_ndot_0001.46,NE,ne_ndot,Nebraska Department of Transportation,0001.46,ne_ndot_version_0001.46_current,current,
ne_ndot_0001.50,NE,ne_ndot,Nebraska Department of Transportation,0001.50,ne_ndot_version_0001.50_historical,historical,
ne_ndot_0001.51,NE,ne_ndot,Nebraska Department of Transportation,0001.51,ne_ndot_version_0001.51_historical,historical,
ne_ndot_0001.52,NE,ne_ndot,Nebraska Department of Transportation,0001.52,ne_ndot_version_0001.52_historical,historical,
ne_ndot_0001.53,NE,ne_ndot,Nebraska Department of Transportation,0001.53,ne_ndot_version_0001.53_historical,historical,
ne_ndot_0001.54,NE,ne_ndot,Nebraska Department of Transportation,0001.54,ne_ndot_version_0001.54_historical,historical,
ne_ndot_0001.75,NE,ne_ndot,Nebraska Department of Transportation,0001.75,ne_ndot_version_0001.75_current,current,
ne_ndot_0001.85,NE,ne_ndot,Nebraska Department of Transportation,0001.85,ne_ndot_version_0001.85_current,current,
ne_ndot_0001.90,NE,ne_ndot,Nebraska Department of Transportation,0001.90,ne_ndot_version_0001.90_current,current,
ne_ndot_0001.91,NE,ne_ndot,Nebraska Department of Transportation,0001.91,ne_ndot_version_0001.91_historical,historical,
ne_ndot_0001.97,NE,ne_ndot,Nebraska Department of Transportation,0001.97,ne_ndot_version_0001.97_historical,historical,
ne_ndot_0001.99,NE,ne_ndot,Nebraska Department of Transportation,0001.99,ne_ndot_version_0001.99_current,current,
ne_ndot_0002.01,NE,ne_ndot,Nebraska Department of Transportation,0002.01,ne_ndot_version_0002.01_historical,historical,
ne_ndot_0002.08,NE,ne_ndot,Nebraska Department of Transportation,0002.08,ne_ndot_version_0002.08_historical,historical,
ne_ndot_0002.09,NE,ne_ndot,Nebraska Department of Transportation,0002.09,ne_ndot_version_0002.09_historical,historical,
