contract_id,letting_id,source_id,state,agency_id,official_contract_id,call_order,letting_status,awarded_vendor,awarded_amount,primary_county,route,work_type,contract_period,dbe_goal,bid_count,location,district,terrain,award_index
sd_sddot_20190116_item_001,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,1,AWARDED,"PCIROADS, LLC",146244.95,Brown,,Structure Repair,,,3,"US12 WB, 3.5 miles west of Groton",,,
sd_sddot_20190116_item_002,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,2,AWARDED,"PCIROADS, LLC",125162.6,"Grant, Hamlin",,Structure Repair,,,3,"US12 0.6 miles east of SD109 over the Whetstone River Diversion Channel & SD22, 3.2 miles east of US81 over the Big Sioux River",,,
sd_sddot_20190116_item_003,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,3,AWARDED,ZANDSTRA CONSTRUCTION INCORPORATED,18638962.86,"Jones, Mellette",,"Grading, Structures, Interim Surfacing",,,3,US83 from north of the Mellette/Jones Co. Line to south of Murdo,,,
sd_sddot_20190116_item_004,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,4,AWARDED,"BX CIVIL & CONSTRUCTION, INC.",259480.5,Lincoln,,Str (2-12'x7' RCBC) & Appr Grading,,,3,Structure 8 miles south & 1.6 miles east of Lennox over Snake Creek,,,
sd_sddot_20190116_item_005,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,5,AWARDED,"HEAVY CONSTRUCTORS, INC.",1847364,Lawrence,,Structure & Approach Grading,,,2,"US14A, in Central City over Deadwood Creek",,,
sd_sddot_20190116_item_006,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,6,WITHDRAWN,,,"Davison, McCook Project Withdrawn From 1/16/2019 Letting",,Culvert Repair,,,,Various Locations in the Mitchell Area,,,
sd_sddot_20190116_item_007,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,7,AWARDED,"Anderson Western, Inc.",4052668.72,"Butte, Lawrence",,"Mill & AC Resurfacing, Pipe Work",,,5,"SD34 from US85 to I90, & I90 ramps at Exit 23",,,
sd_sddot_20190116_item_008,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,8,AWARDED,"WESTERN CONSTRUCTION, INC.",1389007.84,Pennington,,Cold Mill AC & AC Resurfacing,,,3,"US16 from SD244 to south of the US16B south Jct in Hill City, & US16 between Hill City and Three Forks",,,
sd_sddot_20190116_item_009,sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,,9,AWARDED,"BITUMINOUS PAVING, INC.",3439087.5,Hamlin,,"Cold Mill AC, AC Resurf, & Pipe Repair",,,6,SD28 from US81 east through Estelline,,,
sd_sddot_20190123_item_001,sd_sddot_2019_01_23,sd_sddot_bid_tabs_2019_01_23,SD,sd_sddot,,1,AWARDED,"D & G Concrete Construction, Inc.",12467527.57,Minnehaha,,Interchange Improv & High Frict. Treatmt,,,5,I229 at Exit 5 (26th St. Intch/Yeager Rd) & the curve at Cliff Ave on I229 in Sioux Falls,,,
sd_sddot_20190123_item_002,sd_sddot_2019_01_23,sd_sddot_bid_tabs_2019_01_23,SD,sd_sddot,,2,AWARDED,"D & G Concrete Construction, Inc.",23990635.29,Minnehaha,,Urban Reconstruction w/Structures,,,5,"26th Street from Cleveland Avenue to 1,050 feet West of Southeastern Avenue in Sioux Falls",,,
sd_sddot_20190123_item_003,sd_sddot_2019_01_23,sd_sddot_bid_tabs_2019_01_23,SD,sd_sddot,,3,AWARDED,"D & G Concrete Construction, Inc.",667099.03,Minnehaha,,Water Main & Sanitary Sewer,,,5,26th Street and Southeastern Avenue in Sioux Falls,,,
sd_sddot_20190206_item_001,sd_sddot_2019_02_06,sd_sddot_bid_tabs_2019_02_06,SD,sd_sddot,,1,AWARDED,"Corr Construction Services, Inc",345040.25,Sanborn,,Structure & Approach Grading,,,6,Structure 0.5 miles east & 3.4 miles north of Artesian over a creek,,,
sd_sddot_20190206_item_002,sd_sddot_2019_02_06,sd_sddot_bid_tabs_2019_02_06,SD,sd_sddot,,2,AWARDED,"CENTRAL SPECIALTIES, INC",17140261.12,"Brown, Spink",,"Mill AC, AC Resurf, Culverts & End Blks",,,4,"US281 NBL and SBL from SD20 to Aberdeen, and from Old US281 south of Wylie Park to End of Div Hwy; & Structure 1.1 miles south of US12 over Foot Creek",,,
sd_sddot_20190206_item_003,sd_sddot_2019_02_06,sd_sddot_bid_tabs_2019_02_06,SD,sd_sddot,,3,AWARDED,T&R Contracting Inc,15649999.99,Lincoln,,Reconstruction,,,3,SD115 from the Harrisburg corner (273rd Street) to 85th St in Sioux Falls,,,
sd_sddot_20190206_item_004,sd_sddot_2019_02_06,sd_sddot_bid_tabs_2019_02_06,SD,sd_sddot,,4,AWARDED,T&R Contracting Inc,1966600,Lincoln,,Watermain Relocation,,,3,SD115 from the Harrisburg corner (273rd Street) to 85th St. in Sioux Falls.,,,
sd_sddot_20190206_item_005,sd_sddot_2019_02_06,sd_sddot_bid_tabs_2019_02_06,SD,sd_sddot,,5,AWARDED,T&R Contracting Inc,662662,Lincoln,,Watermain Installation,,,3,SD115 from 85th Street to Co Hwy 106 (271st St),,,
sd_sddot_20190206_item_006,sd_sddot_2019_02_06,sd_sddot_bid_tabs_2019_02_06,SD,sd_sddot,,6,AWARDED,ZANDSTRA CONSTRUCTION INCORPORATED,3796363.37,Lawrence,,Grading and AC Surfacing,,,4,"US14A, 2 miles east of US85 (Cheyenne Crossing)",,,
sd_sddot_20190206_item_007,sd_sddot_2019_02_06,sd_sddot_bid_tabs_2019_02_06,SD,sd_sddot,,7,AWARDED,"PCIROADS, LLC",541431.83,"Brookings, Deuel",,Structure Repair,,,2,I29 at the SD30 Interchange & SD28 Interchange,,,
